epsilon_total,regime,mae,clipping_bias,median_relative_error
2,sparse,9.582355993205095,3.159886792017993,0.3441556036877358
2,dense,19.41529309116664,0.0,0.01145251625917099
2,sparse,13.441140245305471,0.775567026954742,0.4806703172065778
2,dense,15.74515805963996,0.0,0.008234909937068055
2,sparse,16.502542851365433,0.24817543755316254,0.655198040020408
2,dense,23.02089118053029,0.0,0.010831599740466293
2,sparse,18.814514964901313,6.321091896826037,0.7733658830758601
2,dense,21.374125310761304,0.0,0.01528358149172297
2,sparse,16.7366599201767,0.8817022213968418,0.6081395874044883
2,dense,22.448265584081827,0.0,0.014391934774774663
2,sparse,13.209262340379746,5.657168578297295,0.497736262389956
2,dense,14.131947571935093,0.0,0.007506802919410244
2,sparse,14.027592763257351,3.432427660574034,0.5827774154336589
2,dense,17.157527789253926,0.0,0.01346423562794501
2,sparse,13.238274180191818,0.06422359053907571,0.30435833382814514
2,dense,13.033974703881219,0.0,0.007887321939716627
2,sparse,22.21941895128325,2.1093500156494156,0.8993069597956287
2,dense,16.623870197417993,0.0,0.011842229438795156
2,sparse,16.437064148747126,1.07311740164826,0.3483379144844626
2,dense,16.69322184297651,0.0,0.011676937097751817
2,sparse,13.400507535190243,1.9213214439110249,0.4105398187784761
2,dense,20.885490485022743,0.0,0.011322556242396035
2,sparse,20.40286020307185,2.414801970782429,0.6133833691458374
2,dense,16.45693027986334,0.0,0.011078263122742456
2,sparse,10.922076793282832,3.897837789620747,0.2324076981792529
2,dense,22.914963521799155,0.0,0.015644556697837247
2,sparse,11.204478565805838,0.42252695833187914,0.5246560265272986
2,dense,16.97105859630826,0.0,0.008101398238988384
2,sparse,18.203494006349807,3.480550639590003,0.6315922139747161
2,dense,15.851412345090823,0.0,0.008155944174868455
2,sparse,16.859379963609545,2.13293083131784,0.49464174371727576
2,dense,15.613082716358027,0.0,0.009140696428382184
2,sparse,13.96155134321088,1.9814545650966828,0.5807268225713325
2,dense,16.234067674455684,0.0,0.008787231124257638
2,sparse,14.724995912163045,4.60967980952415,0.4509063570346607
2,dense,21.67749272718511,0.0,0.01497065586945115
2,sparse,20.195918330212468,2.2921007627726175,0.5641312774073334
2,dense,16.902606818105795,0.0,0.010792710845838108
2,sparse,17.120240808696575,2.3848412505995005,0.5136457339340617
2,dense,16.41962478407555,0.0,0.01413708723615309
2,sparse,21.319634727977036,3.043852101347768,0.8102377570256234
2,dense,14.547588409134484,0.0,0.00788902073525962
2,sparse,15.587319339203646,0.09489041534517935,0.44476511634744753
2,dense,15.191791643837673,0.0,0.006219952510392756
4,sparse,7.752138596886078,0.0,0.21407932988976258
4,dense,8.778783300666516,0.0,0.0036556003544363606
